DOY,ch4_flux,air_temperature
9.77,-2.31E-02,302.355
9.791,1.52E-02,302.043
9.812,1.92E-02,301.425
9.833,-8.47E-02,300.604
9.854,2.12E-03,300.024
9.874,3.18E-02,299.657
9.895,2.72E-02,299.392
9.916,-2.92E-02,299.191
9.937,-4.40E-02,298.953
9.958,-1.61E-02,298.701
9.979,1.81E-02,298.416
10,3.94E-02,298.067
10.02,-2.72E-02,297.868
10.041,-4.67E-02,297.527
10.062,0.202143,296.92
10.083,-1.87E-02,295.572
10.104,2.15E-02,295.72
10.125,-2.25E-02,295.94
10.145,3.79E-02,295.86
10.166,-3.99E-02,295.628
10.187,-1.22E-02,295.552
10.208,-2.28E-03,295.697
10.229,1.05E-02,295.571
10.25,-1.63E-03,295.414
10.27,-2.35E-04,294.868
10.291,-1.37E-02,295.041
10.312,-3.45E-02,295.07
10.333,0.200505,297.376
10.354,0.206028,298.658
10.374,-5.07E-02,299.371
10.395,7.86E-02,299.826
10.416,7.84E-02,299.681
10.479,0.1149,301.554
10.499,0.2091,302.728
10.52,6.52E-02,303.344
10.541,8.26E-03,303.821
10.562,-0.177726,304.478
10.583,-1.40E-02,305.389
10.604,9.89E-02,306.202
10.624,6.11E-02,305.698
10.645,-1.25E-02,304.876
10.666,3.96E-02,304.756
10.687,-1.75E-02,304.704
10.708,-4.17E-02,304.544
10.729,-7.67E-02,304.214
10.749,7.15E-02,304.451
10.77,6.78E-02,304.236
10.791,-3.01E-02,303.749
10.812,0.142377,303.809
10.833,6.34E-02,303.786
10.854,3.16E-03,303.117
10.874,-1.32E-02,302.906
10.895,4.78E-02,302.154
10.916,-0.172944,301.659
10.937,0.142709,300.369
10.958,-9.21E-02,298.745
10.979,0.119482,298.422
11,-2.02E-02,299.679
11.02,-1.80E-02,298.633
11.041,2.45E-03,297.336
11.062,1.06E-03,297.668
11.083,3.67E-03,297.107
11.104,-9.16E-03,297.329
11.125,-2.04E-03,298.571
11.145,-2.18E-03,298.114
11.166,-9.28E-02,297.847
11.187,-1.71E-03,296.669
11.208,-5.56E-03,296.683
11.229,5.23E-04,296.361
11.25,2.15E-02,295.559
11.27,-7.33E-02,296.33
11.291,-3.15E-03,296.7
11.312,0.103672,298.85
11.333,-8.18E-03,300.649
11.354,5.83E-03,303.453
11.374,4.73E-03,305.88
11.395,2.42E-03,306.129
11.416,-6.01E-02,308.238
11.437,7.55E-03,311.334
11.458,3.06E-02,311.283
11.479,-0.487033,311.398
11.499,-3.50E-02,311.29
11.52,8.79E-03,313.133
11.541,7.44E-02,313.334
11.562,-6.45E-02,313.532
11.583,1.40E-02,313.657
11.604,-2.40E-02,313.127
11.624,-7.08E-02,313.565
11.645,-4.26E-03,314.127
11.666,-3.37E-02,313.362
11.687,8.39E-03,314.081
11.708,4.81E-02,315.12
11.729,-0.344247,315.074
11.749,6.95E-02,313.681
11.77,-1.03E-02,312.944
11.791,-7.08E-02,312.437
11.812,-0.247638,311.601
11.833,0.217991,311.608
11.854,2.09E-02,311.645
11.874,-0.182594,309.455
11.895,4.53E-02,308.238
11.916,3.31E-02,306.199
11.937,4.00E-02,302.933
11.958,-0.101563,302.226
