DOY,co2_flux,air_temperature,ET,,,,
14.083,0.783037,298.362,2.91E-02,,,,
14.104,-0.769154,297.795,4.69E-02,,,,
14.125,-0.179562,297.405,4.76E-02,,,,
14.145,0.12405,297.008,6.65E-02,,,,
14.166,-1.49911,296.707,4.50E-02,,,,
14.187,-2.05333,296.541,3.34E-02,,,,
14.208,0.577672,296.256,2.21E-02,,,,
14.229,0.484599,296.108,2.69E-02,,,,
14.25,1.9826,295.909,1.74E-02,,,,
14.27,2.86905,295.488,8.89E-03,,,,
14.291,1.6899,295.334,1.25E-02,,,,
14.312,-2.18557,295.889,2.26E-02,,,,
14.333,-4.04412,296.245,3.66E-02,,,,
14.354,-3.32247,296.528,7.11E-02,,,,
14.374,-1.9758,295.666,7.53E-02,,,,
14.395,-4.93846,296.316,0.120815,,,,
14.416,-11.0018,296.856,0.243376,,,,
14.437,-12.666,297.124,0.344677,,,,
14.458,-14.5318,297.383,0.372984,,,,
14.499,-12.1873,295.98,0.126812,,,,
14.541,-14.9098,296.778,0.163293,,,,
14.562,-13.0905,296.957,0.174798,,,,
14.583,-13.2835,297.065,0.212357,,,,
14.604,-13.406,297.479,0.250893,,,,
14.645,-13.3786,298.106,0.316057,,,,
14.666,-13.2901,298.099,0.34513,,,,
14.687,-11.5892,298.203,0.327865,,,,
14.708,-9.29991,297.83,0.279261,,,,
14.729,-11.2192,297.68,0.235176,,,,
14.749,-9.70176,297.854,0.232849,,,,
14.77,-7.53777,297.858,0.213597,,,,
14.791,-5.64946,297.385,0.200622,,,,
14.812,-4.55849,296.891,0.157255,,,,
14.833,-1.36864,296.658,4.68E-02,,,,
14.854,-0.215925,296.441,4.27E-02,,,,
14.874,0.987936,296.032,2.69E-02,,,,
14.895,2.15933,295.679,2.66E-02,,,,
14.916,1.81853,295.503,2.39E-02,,,,
14.937,1.39263,295.435,1.74E-02,,,,
14.958,1.97025,295.405,2.89E-02,,,,
14.979,1.26049,295.712,3.77E-02,,,,
15,0.907646,295.778,6.31E-02,,,,
15.02,-0.857098,295.707,6.37E-02,,,,
15.041,1.35415,295.507,5.05E-02,,,,
15.062,0.533224,295.266,3.26E-02,,,,
15.083,1.70977,295.14,2.34E-02,,,,
15.104,0.788222,294.927,2.69E-02,,,,
15.125,0.588583,294.565,2.35E-02,,,,
15.145,-0.460403,294.242,2.49E-02,,,,
15.166,0.71686,294.052,1.56E-02,,,,
15.187,0.846671,293.851,2.44E-02,,,,
15.208,0.63944,293.475,1.40E-02,,,,
15.229,2.1819,293.681,1.93E-02,,,,
15.25,2.32732,293.528,1.79E-02,,,,
15.27,1.73706,293.354,1.80E-02,,,,
15.291,0.273225,293.455,2.14E-02,,,,
15.312,-2.30038,293.909,2.19E-02,,,,
15.333,-6.85705,294.554,4.76E-02,,,,
15.354,-5.61309,294.356,4.78E-02,,,,
15.374,-7.44379,294.91,6.68E-02,,,,
15.395,-8.31348,294.755,6.95E-02,,,,
15.416,-7.06441,294.328,2.75E-02,,,,
15.437,-6.83232,294.223,6.29E-02,,,,
15.479,-14.4131,294.975,0.158823,,,,
15.499,-10.245,294.948,0.191848,,,,
15.52,-10.7545,295.558,0.300963,,,,
15.541,-3.4331,296.587,0.265425,,,,
15.562,-14.9402,296.299,0.636794,,,,
15.645,-7.85622,296.219,0.335183,,,,
15.666,-8.8214,294.63,0.447564,,,,
15.687,-12.7936,294.656,0.446978,,,,
15.729,-13.3844,294.609,0.298504,,,,
15.749,-10.3147,294.93,0.350773,,,,
15.77,-8.01415,294.14,0.220062,,,,
15.791,-7.91466,294.271,0.162511,,,,
15.812,-6.8348,294.306,0.157652,,,,
15.833,-4.29798,294.422,0.186316,,,,
15.874,0.711876,293.012,9.04E-02,,,,
15.895,1.06583,296.422,9.10E-02,,,,
15.916,1.83407,292.367,7.39E-02,,,,
15.937,1.7546,291.031,3.69E-02,,,,
15.958,2.22627,291.649,4.13E-02,,,,
16,2.16992,294.068,0.18339,,,,
